activity,floor,county,uranium
2.2,1,aitkin,0.502054
2.2,0,aitkin,0.502054
2.9,0,aitkin,0.502054
1.0,0,aitkin,0.502054
3.1,0,anoka,0.428565
2.5,0,anoka,0.428565
1.5,0,anoka,0.428565
1.0,0,anoka,0.428565
0.7,0,anoka,0.428565
1.2,0,anoka,0.428565
1.2,0,anoka,0.428565
1.3,0,anoka,0.428565
1.4,0,anoka,0.428565
0.4,0,anoka,0.428565
1.1,0,anoka,0.428565
4.5,0,anoka,0.428565
1.3,0,anoka,0.428565
2.1,0,anoka,0.428565
5.9,0,anoka,0.428565
3.3,0,anoka,0.428565
1.8,0,anoka,0.428565
5.4,0,anoka,0.428565
6.3,0,anoka,0.428565
1.9,0,anoka,0.428565
6.6,0,anoka,0.428565
3.1,0,anoka,0.428565
6.8,0,anoka,0.428565
7.0,0,anoka,0.428565
7.7,0,anoka,0.428565
5.2,0,anoka,0.428565
4.5,0,anoka,0.428565
4.4,0,anoka,0.428565
2.8,0,anoka,0.428565
8.1,0,anoka,0.428565
1.6,0,anoka,0.428565
4.2,0,anoka,0.428565
5.4,0,anoka,0.428565
4.0,0,anoka,0.428565
2.3,0,anoka,0.428565
2.9,0,anoka,0.428565
1.4,0,anoka,0.428565
3.3,0,anoka,0.428565
2.9,0,anoka,0.428565
1.8,1,anoka,0.428565
0.2,1,anoka,0.428565
2.4,0,anoka,0.428565
1.1,1,anoka,0.428565
2.2,0,anoka,0.428565
0.6,0,anoka,0.428565
1.7,0,anoka,0.428565
2.9,0,anoka,0.428565
2.2,0,anoka,0.428565
1.7,0,anoka,0.428565
1.4,0,anoka,0.428565
1.9,0,anoka,0.428565
1.8,0,anoka,0.428565
1.2,1,becker,0.892741
4.3,0,becker,0.892741
4.5,1,becker,0.892741
6.3,0,beltrami,0.552472
4.6,0,beltrami,0.552472
5.7,0,beltrami,0.552472
2.2,1,beltrami,0.552472
0.4,1,beltrami,0.552472
4.6,1,beltrami,0.552472
4.4,1,beltrami,0.552472
6.6,0,benton,0.866849
2.7,0,benton,0.866849
2.9,1,benton,0.866849
2.9,0,benton,0.866849
7.2,0,bigstone,1.47264
5.0,0,bigstone,1.47264
2.6,0,bigstone,1.47264
5.0,0,blueearth,1.31208
13.0,0,blueearth,1.31208
7.2,0,blueearth,1.31208
6.8,0,blueearth,1.31208
12.8,0,blueearth,1.31208
5.8,1,blueearth,1.31208
9.5,0,blueearth,1.31208
6.0,0,blueearth,1.31208
3.8,0,blueearth,1.31208
14.3,1,blueearth,1.31208
1.8,0,blueearth,1.31208
6.9,0,blueearth,1.31208
4.7,0,blueearth,1.31208
9.5,0,blueearth,1.31208
2.5,1,brown,1.31993
6.7,0,brown,1.31993
4.0,1,brown,1.31993
10.1,0,brown,1.31993
2.2,0,carlton,0.717261
1.8,0,carlton,0.717261
3.4,0,carlton,0.717261
5.6,1,carlton,0.717261
4.3,0,carlton,0.717261
3.9,0,carlton,0.717261
1.3,0,carlton,0.717261
4.2,0,carlton,0.717261
0.8,0,carlton,0.717261
2.0,0,carlton,0.717261
1.6,0,carver,1.10061
1.6,0,carver,1.10061
12.9,0,carver,1.10061
12.9,0,carver,1.10061
14.7,1,carver,1.10061
14.7,1,carver,1.10061
4.7,1,carver,1.10061
4.7,1,carver,1.10061
9.6,0,carver,1.10061
